Semestre;Codigo;Nombre;HT;Creditos;Requisito1;Requisito2;Requisito3;Requisito4;Requisito5;Requisito6;Requisito7;Requisito8;Requisito9
7;CAD612023744C;PROFUNDIZACION DISCIPLINAR II BIG DATA;4;2;PROFUNDIZACION DISCIPLINAR II MACHINE LEARNING;;;;;;;;
8;CAI1002020816;CIENCIA TECNOLOGIA E INNOVACION III;2;2;CIENCIA TECNOLOGIA E INNOVACION II;;;;;;;;
8;CAD612021937;GERENCIA DE PROYECTOS;2;2;PLANEACION ESTRATEGICA;;;;;;;;
8;CAD612021834;INTELIGENCIA ARTIFICIAL;6;3;;;;;;;;;
8;CAD612021835;LENGUAJES Y AUTOMATAS;6;3;;;;;;;;;
8;CAD612023845C;PROFUNDIZACION DISCIPLINAR I SEGURIDAD EN APLICACIONES;4;2;PROFUNDIZACION DISCIPLINAR I SEGURIDAD DE HARDWARE;;;;;;;;
8;CAD612023846C;PROFUNDIZACION DISCIPLINAR II GESTION DE PROYECTOS CENTRADA EN LOS DATOS;32;2;PROFUNDIZACION DISCIPLINAR II BIG DATA;;;;;;;;
8;CAD612023833;REDES Y COMUNICACION;8;4;COMUNICACION DE DATOS;;;;;;;;
9;CAD612021938;MODELACION;3;3;OPERATIVA;;;;;;;;
9;CAD612021940;OPCION DE GRADO;2;1;CIENCIA TECNOLOGIA E INNOVACION III;;;;;;;;
9;CAD612023947CA;PROFUNDIZACION DISCIPLINAR I ETICA HACKING;4;2;PROFUNDIZACION DISCIPLINAR I SEGURIDAD EN APLICACIONES;;;;;;;;
9;CAD612023947CB;PROFUNDIZACION DISCIPLINAR I SEGURIDAD EN LA NUBE;4;2;PROFUNDIZACION DISCIPLINAR I SEGURIDAD EN APLICACIONES;;;;;;;;
9;CAD612023948CA;PROFUNDIZACION DISCIPLINAR II BUSINESS ANALYTICS;4;2;PROFUNDIZACION DISCIPLINAR II GESTION DE PROYECTOS CENTRADA EN LOS DATOS;;;;;;;;
9;CAD612023948CB;PROFUNDIZACION DISCIPLINAR II MINERIA DE DATOS;4;2;PROFUNDIZACION DISCIPLINAR II GESTION DE PROYECTOS CENTRADA EN LOS DATOS;;;;;;;;
